year,strongest_topic,verdicts,total_verdicts,topic_percentage
1949,16,2,2,100.0
1950,16,1,1,100.0
1952,13,1,2,50.0
1952,16,1,2,50.0
1953,16,2,2,100.0
1959,16,1,2,50.0
1959,19,1,2,50.0
1962,16,1,1,100.0
1964,16,1,1,100.0
1966,13,2,23,8.7
1966,16,13,23,56.52
1966,17,2,23,8.7
1966,18,1,23,4.35
1966,19,1,23,4.35
1966,21,1,23,4.35
1966,4,1,23,4.35
1966,5,1,23,4.35
1966,6,1,23,4.35
1967,16,10,15,66.67
1967,19,1,15,6.67
1967,24,2,15,13.33
1967,4,1,15,6.67
1967,5,1,15,6.67
1968,0,1,29,3.45
1968,13,3,29,10.34
1968,16,14,29,48.28
1968,17,1,29,3.45
1968,18,2,29,6.9
1968,19,5,29,17.24
1968,3,1,29,3.45
1968,5,1,29,3.45
1968,6,1,29,3.45
1969,16,2,2,100.0
1970,13,1,7,14.29
1970,16,4,7,57.14
1970,5,1,7,14.29
1970,6,1,7,14.29
1971,13,3,30,10.0
1971,16,17,30,56.67
1971,17,1,30,3.33
1971,19,1,30,3.33
1971,2,1,30,3.33
1971,24,2,30,6.67
1971,4,1,30,3.33
1971,5,4,30,13.33
1972,1,1,23,4.35
1972,13,2,23,8.7
1972,16,6,23,26.09
1972,18,1,23,4.35
1972,19,4,23,17.39
1972,2,4,23,17.39
1972,24,2,23,8.7
1972,3,1,23,4.35
1972,5,1,23,4.35
1972,7,1,23,4.35
1973,0,1,21,4.76
1973,13,3,21,14.29
1973,16,7,21,33.33
1973,19,5,21,23.81
1973,24,1,21,4.76
1973,3,1,21,4.76
1973,5,2,21,9.52
1973,7,1,21,4.76
1974,13,3,20,15.0
1974,16,9,20,45.0
1974,2,1,20,5.0
1974,21,1,20,5.0
1974,24,5,20,25.0
1974,5,1,20,5.0
1975,10,1,16,6.25
1975,11,1,16,6.25
1975,16,8,16,50.0
1975,19,1,16,6.25
1975,2,1,16,6.25
1975,22,1,16,6.25
1975,24,2,16,12.5
1975,6,1,16,6.25
1976,0,1,50,2.0
1976,1,1,50,2.0
1976,13,2,50,4.0
1976,14,1,50,2.0
1976,16,26,50,52.0
1976,19,3,50,6.0
1976,2,2,50,4.0
1976,21,1,50,2.0
1976,22,1,50,2.0
1976,24,5,50,10.0
1976,4,1,50,2.0
1976,5,3,50,6.0
1976,9,3,50,6.0
1977,13,5,45,11.11
1977,16,24,45,53.33
1977,17,3,45,6.67
1977,2,3,45,6.67
1977,20,2,45,4.44
1977,22,4,45,8.89
1977,4,1,45,2.22
1977,5,2,45,4.44
1977,6,1,45,2.22
1978,10,1,55,1.82
1978,13,3,55,5.45
1978,14,1,55,1.82
1978,16,26,55,47.27
1978,19,7,55,12.73
1978,2,5,55,9.09
1978,22,1,55,1.82
1978,24,4,55,7.27
1978,3,1,55,1.82
1978,5,6,55,10.91
1979,1,3,75,4.0
1979,10,2,75,2.67
1979,11,2,75,2.67
1979,13,3,75,4.0
1979,15,1,75,1.33
1979,16,31,75,41.33
1979,17,2,75,2.67
1979,18,1,75,1.33
1979,19,3,75,4.0
1979,2,5,75,6.67
1979,21,2,75,2.67
1979,22,1,75,1.33
1979,24,2,75,2.67
1979,3,2,75,2.67
1979,4,4,75,5.33
1979,5,6,75,8.0
1979,6,2,75,2.67
1979,9,3,75,4.0
1980,10,1,77,1.3
1980,12,1,77,1.3
1980,13,9,77,11.69
1980,16,32,77,41.56
1980,17,4,77,5.19
1980,19,5,77,6.49
