filename,year,strongest_topic,strongest_topic_prob
PADI-NE-2-237-L.txt,1992,13,0.44315267
11082920-b13.txt,2013,21,0.44148168
padi-p-2-793-l.txt,1996,18,0.47991946
16044580-m02.txt,2016,7,0.5303743
13021560-l03.txt,2013,3,0.60976124
0108946.txt,2001,20,0.70546293
21087090-Q11.txt,2022,7,0.5171425
20047390-N01.txt,2020,8,0.46179014
22034310-O04.txt,2022,4,0.5111023
0009411-padi.txt,2003,14,0.43666747
05064470-r04-e.txt,2005,4,0.68679166
PADI-LE-1-129-L.txt,1981,1,0.37468323
05014900-b02-e.txt,2006,24,0.41365305
06108110-a08.txt,2008,9,0.3154187
padi-nf-2-229-l.txt,1993,20,0.38946748
10070220-n03.txt,2010,7,0.4624733
0201689.txt,2003,0,0.7128941
07078910-s68.txt,2014,8,0.3390915
21004520-E11.txt,2022,20,0.43619078
20048530-R02.txt,2020,23,0.8222741
0400914.txt,2004,21,0.34425405
20020290-E24.txt,2022,8,0.5499707
15045730-c18.txt,2016,19,0.4411213
13058520-a02.txt,2013,11,0.7333448
20079560-O05.txt,2021,12,0.4189094
16043520-h02.txt,2016,11,0.5349397
15069420-b16.txt,2016,24,0.75344235
15014220-w05.txt,2015,8,0.6568342
18032270-G05.txt,2019,0,0.5102527
04034530-r12.txt,2010,14,0.45835847
18078570-Q03.txt,2018,7,0.6197738
9804400.txt,1998,0,0.35730606
97040100.txt,1999,2,0.42661378
14087690-z10.txt,2015,8,0.34392267
10059310-m32.txt,2014,1,0.4356494
07025490-t12-e.txt,2007,7,0.358614
22008400-F01.txt,2022,20,0.5451508
0410285.txt,2005,22,0.75298536
21014310-E17.txt,2021,12,0.6643538
PADI-LF-3-365-L.txt,1983,1,0.4483873
07089910-v01.txt,2008,2,0.60399246
01010202.txt,2003,13,0.31148222
KG-1-057-L.txt,1973,13,0.52692485
06031030-r13.txt,2011,17,0.5464752
PADI-NG-4-265-L.txt,1994,13,0.5387391
04000660-c17-e.txt,2005,9,0.3230996
13083610-z05.txt,2014,7,0.7914056
06034930-m04-e.txt,2007,12,0.28337604
PADI-ND-3-436-L.txt,1991,15,0.20277512
07078910-s54.txt,2013,8,0.39611435
07044990-r03-e.txt,2007,7,0.8274937
12061450-t08.txt,2013,5,0.3191094
10046150-s04.txt,2010,10,0.51694536
15044210-O25.txt,2018,8,0.3920254
PADI-NF-5-873-L.txt,1993,6,0.5421367
05025570-a19-e.txt,2006,3,0.46114653
09026500-r06.txt,2009,1,0.4374914
padi-nb-1-177-l.txt,1988,19,0.45903715
13056980-w01.txt,2013,11,0.58376205
11050980-s11.txt,2011,11,0.28880712
10070680-t18.txt,2011,11,0.4567474
20088870-Z04.txt,2021,8,0.34001914
14045970-c03.txt,2014,23,0.6895379
PADI-LE-2-551-L.txt,1982,4,0.518069
08065540-w03.txt,2008,11,0.41408408
16039830-E10.txt,2018,17,0.59782153
02010785.txt,2003,5,0.96018595
00033840-V02.txt,2000,10,0.38323578
12022640-k02.txt,2012,11,0.44039655
padi-p-5-166-l.txt,1997,22,0.33445078
09073770-c03.txt,2009,11,0.60467803
08003600-r24.txt,2010,24,0.60691756
LA-1-699-L.txt,1978,16,0.30527312
13009210-s09.txt,2013,0,0.3863183
11025000-s27.txt,2015,8,0.35629487
e13-58000124.txt,1959,16,0.51633745
PADI-LH-4-393-L.txt,1985,6,0.48831218
12006670-z06.txt,2012,11,0.36353692
NOPADI-P-8-030-L.txt,1997,21,0.42880172
04017240-n02-e.txt,2005,0,0.9028876
12004990-e01.txt,2012,11,0.7486652
PADI-ND-1-558-L.txt,1991,9,0.56017226
KF-2-740-L.txt,1973,19,0.43588343
21060720-Y03.txt,2021,11,0.41803432
0202828.txt,2004,22,0.8123825
LA-2-301-L.txt,1978,13,0.74147016
0504970.txt,2005,11,0.617167
NOPADI-NF-5-021-L.txt,1996,10,0.3097878
06073060-o02.txt,2006,11,0.59050375
0402697-padi.txt,2004,3,0.8976544
15053440-t09.txt,2016,1,0.40599784
9906029.txt,2000,16,0.20773222
19046590-A11.txt,2021,8,0.6070979
13045300-e03.txt,2013,11,0.5311563
08108930-k06.txt,2012,22,0.24720207
22066880-X06.txt,2023,17,0.4620349
04054510-s57.txt,2010,12,0.5013344
07048710-h04.txt,2008,19,0.4254546
00006540-L03.txt,2000,2,0.49133256
0405757-padi.txt,2005,0,0.3184539
0408192.txt,2004,20,0.52820325
0200795.txt,2002,11,0.5944448
18003430-E01.txt,2018,11,0.44902903
19031070-F26.txt,2022,18,0.43711373
16074020-b06.txt,2016,11,0.4087746
20037540-E07.txt,2020,22,0.39605796
0308426-b.txt,2005,4,0.55232805
0508186.txt,2005,2,0.91471654
16073440-i17.txt,2017,24,0.5758065
09075180-g02.txt,2010,12,0.52033764
19035740-O11.txt,2020,8,0.3358135
07101460-o09.txt,2008,21,0.38301796
20092440-E05.txt,2021,20,0.29810154
08079670-v05.txt,2009,23,0.4743959
19021430-B02.txt,2019,11,0.6295557
14080350-o11.txt,2015,11,0.41797423
15041190-M52.txt,2018,7,0.32057697
11065460-z04.txt,2012,11,0.6353268
10038010-c07.txt,2010,11,0.6024308
KF-1-124-L.txt,1972,1,0.33825085
14072920-c21.txt,2016,17,0.29225343
21033500-N15.txt,2022,17,0.42023003
10037580-c05.txt,2010,21,0.48742813
08065220-w02.txt,2008,2,0.41028282
0009047.txt,2003,7,0.7342783
18046630-E10.txt,2019,7,0.71986556
20050660-F07.txt,2020,12,0.6724352
11039900-k03.txt,2011,8,0.45417333
97052060.txt,1998,11,0.26456198
11065560-n08.txt,2011,21,0.20575751
PADI-LF-4-024-L.txt,1983,20,0.5638169
06038050-m18.txt,2011,24,0.2099303
04012500-n19.txt,2010,7,0.9518997
08081960-t08.txt,2009,5,0.6054856
08037310-z10.txt,2010,13,0.31247047
12028140-m10.txt,2013,13,0.2776806
18053520-Y01.txt,2018,2,0.49816468
10011950-t24.txt,2014,18,0.57847965
19052040-N04.txt,2019,11,0.5821407
99013380-g05.txt,1999,19,0.7323069
padi-p-4-590-l.txt,1996,2,0.40651995
12052760-m10.txt,2014,0,0.59288985
10011880-c38.txt,2013,6,0.51519847
03099140-s05-e.txt,2005,24,0.5416393
18080660-E03.txt,2019,11,0.60957754
20055290-Z01.txt,2020,12,0.47219247
07081440-c01.txt,2007,13,0.37357086
04063360-a14-e.txt,2006,1,0.93802506
23009140-C02.txt,2023,12,0.27405027
0109912.txt,2002,13,0.3984576
18074630-A11.txt,2019,7,0.6031853
05106670-p09-e.txt,2006,6,0.34204686
99002888-HK.txt,1999,0,0.39529783
11036020-w04.txt,2011,11,0.5486401
04033070-n06-e.txt,2005,3,0.35587227
PADI-NA-4-757-L.txt,1989,3,0.63134646
03047360-r25.txt,2008,17,0.47121748
18091230-B01.txt,2019,2,0.8291582
16022500-t05.txt,2016,11,0.2828793
99046220.txt,1999,11,0.4667316
14040610-v04.txt,2014,11,0.45177713
0210223.txt,2003,1,0.2402032
20034200-B01.txt,2020,2,0.6181429
78000606-HK.txt,1979,1,0.4946918
12088460-k06.txt,2013,9,0.40181956
10084000-b02.txt,2011,10,0.35802454
05091850-s02-e.txt,2005,7,0.8216329
0201460.txt,2002,11,0.6688177
12069040-h04.txt,2013,11,0.51484036
15060970-c15.txt,2016,12,0.44406483
23005170-X02.txt,2023,2,0.3895575
18065560-O22.txt,2020,8,0.4671204
06042180-p05-e.txt,2006,7,0.5713323
06024050-E04.txt,2018,10,0.22004136
05025320-n11-e.txt,2005,5,0.40688854
0500243.txt,2005,20,0.74172616
0404031.txt,2004,20,0.462368
11074850-p03.txt,2011,11,0.7938336
05086090-v02-e.txt,2005,21,0.33090845
96009209-HK.txt,1996,21,0.42184356
20057830-Z06.txt,2022,0,0.3067191
07007460-t38.txt,2011,3,0.38768694
9706394.txt,1999,10,0.262165
NOPADI-NG-8-115-L.txt,1995,19,0.29246154
11036540-z02.txt,2012,2,0.35062152
23000060-F01.txt,2023,11,0.28161585
19008610-Z12.txt,2019,8,0.4206606
07107710-w24.txt,2010,10,0.20968021
22049230-A09.txt,2022,2,0.4748873
07047530-p02.txt,2008,5,0.56950307
NOPADI-NH-8-095-L.txt,1994,24,0.7113173
PADI-NA-4-693-L.txt,1989,2,0.3725319
KG-1-337-L.txt,1973,0,0.42678925
10016730-v06.txt,2010,7,0.5067099
22018560-O15.txt,2022,5,0.7771127
19024580-M35.txt,2023,0,0.5194962
9104914.txt,1992,24,0.30412933
99040240-m01.txt,1999,11,0.5594228
KF-2-764-L.txt,1973,16,0.31727603
15059130-t06.txt,2016,24,0.48425516
11094040-t10.txt,2014,7,0.6946896
05066960-r17-e.txt,2007,7,0.7326932
NOPADI-NX-3-015-L.txt,1986,18,0.20686854
padi-ng-4-591-l.txt,1994,2,0.7110577
11059740-h03.txt,2011,2,0.2631982
13064000-l06.txt,2014,23,0.39852092
16074840-O03.txt,2018,12,0.5034018
NOPADI-NG-7-018-L.txt,1994,16,0.32911935
12018480-t09.txt,2013,20,0.4874048
06048860-t04-e.txt,2007,19,0.47412133
19053590-F09.txt,2019,11,0.44615066
19014820-N18.txt,2020,24,0.7009546
10036290-p05.txt,2011,12,0.21110837
22088290-Y02.txt,2023,11,0.54008037
07109760-t02-e.txt,2007,2,0.6231379
99000260.txt,2003,14,0.56138784
0308375-padi.txt,2003,13,0.46400917
09057360-r11.txt,2010,24,0.44723603
0505312.txt,2005,11,0.73438394
15004260-t02.txt,2015,8,0.29688746
NOPADI-PC-2-019-L.txt,1999,10,0.22792254
16075750-m05.txt,2016,11,0.53298515
18006280-M08.txt,2018,23,0.77045214
18029240-O04.txt,2018,7,0.8558687
07063240-m02-e.txt,2007,2,0.5467308
12058230-s28.txt,2014,11,0.28182894
NOPADI-NF-4-067-L.txt,1995,17,0.3646865
10017560-a12.txt,2013,14,0.27930734
20089760-Z01.txt,2020,2,0.57762796
80000161-HK.txt,1980,5,0.7071673
10077600-k02.txt,2011,2,0.77185804
0504781.txt,2005,5,0.6336388
0504959.txt,2005,4,0.2815249
10088440-n07.txt,2011,12,0.576479
18061280-E04.txt,2018,11,0.37278175
11001650-v07.txt,2013,12,0.53828955
padi-nf-3-036-l.txt,1993,16,0.2767003
15015740-l02.txt,2015,16,0.29086438
16058990-l02.txt,2016,23,0.71943784
NOPADI-NB-7-038-L.txt,1989,16,0.36064476
07078500-c03-e.txt,2007,10,0.25254294
08019010-c23.txt,2012,0,0.6498854
0400982-padi.txt,2004,2,0.69099694
12040960-c25.txt,2014,8,0.32900664
NOPADI-NG-3-255-L.txt,1993,8,0.2596541
19022110-O14.txt,2020,3,0.3033692
PADI-NC-3-317-L.txt,1990,16,0.30084705
07043460-h04-e.txt,2007,2,0.52618057
PADI-NC-2-601-L.txt,1990,16,0.35319704
11077930-c02.txt,2011,20,0.36315668
22071000-N03.txt,2022,19,0.30838034
PADI-NB-3-078-L.txt,1989,0,0.2512122
12076120-m40.txt,2015,1,0.4666878
05070780-t10-e.txt,2008,2,0.50753343
05084180-s02-e.txt,2005,11,0.39382106
07032130-t04-e.txt,2008,2,0.7426848
17067690-V16.txt,2018,3,0.4476547
KE-2-403-L.txt,1972,2,0.32782593
22028270-M14.txt,2023,22,0.4539981
06089610-b21.txt,2008,7,0.43643573
PADI-LH-2-701-L.txt,1985,16,0.29157007
07068690-b05-e.txt,2007,17,0.3408827
07005560-r02-e.txt,2007,2,0.5159079
