filename,topic_id,topic_probability,is_strongest,year,topic_title,topic_description
00004940-V02.txt,1,0.3701,False,2000,ביטחון ושטחים,"0.027*""אזור"" + 0.024*""ביטחון"" + 0.023*""צבאי"" + 0.018*""תושב"" + 0.015*""מפקד"" + 0.013*""גדר"" + 0.013*""בטחוני"" + 0.012*""שטח"" + 0.009*""יהודה"" + 0.009*""ישראלי"""
00004940-V02.txt,11,0.3833,True,2000,הליכים משפטיים,"0.012*""סף"" + 0.011*""הגשה"" + 0.011*""תיק"" + 0.011*""ערעור"" + 0.011*""כתב"" + 0.011*""תביעה"" + 0.009*""סעד"" + 0.008*""משפטי"" + 0.007*""פורסם"" + 0.007*""תגובה"""
00005130-V02.txt,11,0.6164,True,2000,הליכים משפטיים,"0.012*""סף"" + 0.011*""הגשה"" + 0.011*""תיק"" + 0.011*""ערעור"" + 0.011*""כתב"" + 0.011*""תביעה"" + 0.009*""סעד"" + 0.008*""משפטי"" + 0.007*""פורסם"" + 0.007*""תגובה"""
00005140-U02.txt,10,0.3283,True,2000,שירותי בריאות,"0.029*""שירות"" + 0.026*""בריאות"" + 0.017*""עובד"" + 0.017*""משרד"" + 0.015*""שירותים"" + 0.015*""רפואי"" + 0.014*""חלה"" + 0.012*""טיפול"" + 0.008*""רופא"" + 0.005*""איש"""
00005170-m71.txt,8,0.4013,True,2012,החלטות ממשלה,"0.009*""ממשלה"" + 0.007*""פורסם"" + 0.006*""נטען"" + 0.006*""יחס"" + 0.006*""גורם"" + 0.006*""נגע"" + 0.005*""עמדה"" + 0.005*""תגובה"" + 0.005*""משרד"" + 0.005*""מנהלי"""
00005220-U03.txt,23,0.2855,True,2000,הריסת מבנים,"0.034*""מבנה"" + 0.024*""הריסה"" + 0.015*""בנייה"" + 0.015*""תקנה"" + 0.009*""שימוש"" + 0.009*""מפקד"" + 0.009*""סמכות"" + 0.009*""דירה"" + 0.008*""קומה"" + 0.008*""מחבל"""
00005240-V09.txt,7,0.356,False,2000,אזרחות והגירה,"0.019*""פנים"" + 0.015*""שר"" + 0.014*""אזרחות"" + 0.013*""מעמד"" + 0.012*""כניסה"" + 0.010*""נוהל"" + 0.009*""משרד"" + 0.009*""ישיבה"" + 0.009*""משפחה"" + 0.008*""ארץ"""
00005240-V09.txt,11,0.371,True,2000,הליכים משפטיים,"0.012*""סף"" + 0.011*""הגשה"" + 0.011*""תיק"" + 0.011*""ערעור"" + 0.011*""כתב"" + 0.011*""תביעה"" + 0.009*""סעד"" + 0.008*""משפטי"" + 0.007*""פורסם"" + 0.007*""תגובה"""
00006170-I01.txt,20,0.3336,True,2000,מינויים ממשלתיים,"0.044*""ועדה"" + 0.039*""ממשלה"" + 0.025*""שר"" + 0.017*""מינוי"" + 0.016*""תפקיד"" + 0.012*""כנסת"" + 0.010*""שיקול"" + 0.010*""הכנסה"" + 0.010*""משפטי"" + 0.009*""סמכות"""
00006290-D16.txt,11,0.3754,True,2000,הליכים משפטיים,"0.012*""סף"" + 0.011*""הגשה"" + 0.011*""תיק"" + 0.011*""ערעור"" + 0.011*""כתב"" + 0.011*""תביעה"" + 0.009*""סעד"" + 0.008*""משפטי"" + 0.007*""פורסם"" + 0.007*""תגובה"""
00006510-O05.txt,7,0.3189,False,2000,אזרחות והגירה,"0.019*""פנים"" + 0.015*""שר"" + 0.014*""אזרחות"" + 0.013*""מעמד"" + 0.012*""כניסה"" + 0.010*""נוהל"" + 0.009*""משרד"" + 0.009*""ישיבה"" + 0.009*""משפחה"" + 0.008*""ארץ"""
00006510-O05.txt,11,0.4167,True,2000,הליכים משפטיים,"0.012*""סף"" + 0.011*""הגשה"" + 0.011*""תיק"" + 0.011*""ערעור"" + 0.011*""כתב"" + 0.011*""תביעה"" + 0.009*""סעד"" + 0.008*""משפטי"" + 0.007*""פורסם"" + 0.007*""תגובה"""
