filename,years,max_year,num_unique_years
07106150-m08-e.txt,"2007, 2007, 2007",2007,1
15023030-g05.txt,2015,2015,1
05093660-t05-e.txt,2005,2005,1
PADI-NA-2-610-L.txt,"1988, 1980, 1988",1988,2
06091560-h03-e.txt,2006,2006,1
20023590-F04.txt,2020,2020,1
11028140-e08.txt,2012,2012,1
69000150-HK.txt,1970,1970,1
0407974-padi.txt,2005,2005,1
14053820-v14.txt,"2016, 2016",2016,1
18020150-Q03.txt,2018,2018,1
10047570-z02.txt,2010,2010,1
04093850-s10-e.txt,"2003, 2005",2005,2
18045960-N03.txt,"2018, 2018",2018,1
14050190-w02.txt,2014,2014,1
13003890-i12.txt,"2012, 2012, 2012, 2014",2014,2
0109834-padi.txt,"2001, 2000, 2003",2003,3
18048250-E14.txt,2019,2019,1
03102890-n05-e.txt,2005,2005,1
17041080-O10.txt,2019,2019,1
07091320-n25-e.txt,2008,2008,1
11069440-e28.txt,"2011, 2015",2015,2
07050480-r01-e.txt,"2007, 2007, 2005, 2007",2007,2
0305194-padi.txt,2003,2003,1
02010815.txt,2003,2003,1
96065370-F03.txt,1998,1998,1
13070710-k02.txt,2013,2013,1
0310467-padi.txt,2003,2003,1
14026590-z04.txt,2014,2014,1
17074710-F07.txt,2019,2019,1
PADI-P-1-353-L.txt,1996,1996,1
PADI-NG-1-296-L.txt,1994,1994,1
05055390-s02-e.txt,2008,2008,1
12061200-m13.txt,2015,2015,1
05042890-a53-e.txt,2006,2006,1
16065640-g02.txt,"2014, 2016",2016,2
PADI-LH-2-718-L.txt,1985,1985,1
0406222.txt,2005,2005,1
21076780-E03.txt,"2021, 2021",2021,1
05115380-v07-e.txt,"2005, 2005, 2007",2007,2
06024460-o02-e.txt,2006,2006,1
07008850-r02-e.txt,2007,2007,1
8000010-HK.txt,1980,1980,1
15009890-b03.txt,2015,2015,1
KE-2-337-L.txt,"1971, 1972, 1966",1972,3
PADI-NA-3-801-L.txt,1988,1988,1
22044260-X03.txt,2022,2022,1
19055280-Z01.txt,2019,2019,1
22008180-G02.txt,2022,2022,1
11083460-c02.txt,2011,2011,1
E-06-04-3155.txt,"2004, 2004",2004,1
PADI-NE-2-237-L.txt,1992,1992,1
11082920-b13.txt,2013,2013,1
padi-p-2-793-l.txt,1996,1996,1
16044580-m02.txt,2016,2016,1
13021560-l03.txt,2013,2013,1
0108946.txt,2001,2001,1
21087090-Q11.txt,2022,2022,1
20047390-N01.txt,2020,2020,1
22034310-O04.txt,2022,2022,1
0009411-padi.txt,2003,2003,1
05064470-r04-e.txt,2005,2005,1
PADI-LE-1-129-L.txt,1981,1981,1
05014900-b02-e.txt,"2001, 1991, 2006",2006,3
06108110-a08.txt,2008,2008,1
padi-nf-2-229-l.txt,1993,1993,1
10070220-n03.txt,2010,2010,1
0201689.txt,2003,2003,1
07078910-s68.txt,2014,2014,1
21004520-E11.txt,"2020, 2020, 2022",2022,2
20048530-R02.txt,2020,2020,1
0400914.txt,"2004, 2004, 2004, 2004",2004,1
20020290-E24.txt,2022,2022,1
15045730-c18.txt,2016,2016,1
13058520-a02.txt,2013,2013,1
20079560-O05.txt,2021,2021,1
16043520-h02.txt,"2016, 2013",2016,2
15069420-b16.txt,2016,2016,1
15014220-w05.txt,2015,2015,1
18032270-G05.txt,2019,2019,1
04034530-r12.txt,2010,2010,1
18078570-Q03.txt,2018,2018,1
9804400.txt,1998,1998,1
97040100.txt,1999,1999,1
14087690-z10.txt,2015,2015,1
10059310-m32.txt,2014,2014,1
07025490-t12-e.txt,"2007, 2007",2007,1
22008400-F01.txt,"2000, 2022, 2000",2022,2
0410285.txt,"2004, 2005",2005,2
21014310-E17.txt,"2021, 2021",2021,1
PADI-LF-3-365-L.txt,1983,1983,1
07089910-v01.txt,2008,2008,1
01010202.txt,2003,2003,1
KG-1-057-L.txt,1973,1973,1
06031030-r13.txt,2011,2011,1
PADI-NG-4-265-L.txt,1994,1994,1
04000660-c17-e.txt,2005,2005,1
13083610-z05.txt,"2013, 2014",2014,2
06034930-m04-e.txt,2007,2007,1
PADI-ND-3-436-L.txt,1991,1991,1
07078910-s54.txt,2013,2013,1
07044990-r03-e.txt,2007,2007,1
12061450-t08.txt,2013,2013,1
10046150-s04.txt,"2010, 2010, 2010",2010,1
15044210-O25.txt,2018,2018,1
PADI-NF-5-873-L.txt,1993,1993,1
05025570-a19-e.txt,2006,2006,1
09026500-r06.txt,2009,2009,1
padi-nb-1-177-l.txt,1988,1988,1
13056980-w01.txt,2013,2013,1
11050980-s11.txt,2011,2011,1
10070680-t18.txt,"2011, 2011",2011,1
20088870-Z04.txt,2021,2021,1
14045970-c03.txt,2014,2014,1
PADI-LE-2-551-L.txt,"1982, 1982",1982,1
08065540-w03.txt,2008,2008,1
16039830-E10.txt,"2016, 2018",2018,2
02010785.txt,2003,2003,1
00033840-V02.txt,2000,2000,1
12022640-k02.txt,2012,2012,1
padi-p-5-166-l.txt,1997,1997,1
09073770-c03.txt,"2009, 2009",2009,1
08003600-r24.txt,2010,2010,1
LA-1-699-L.txt,1978,1978,1
13009210-s09.txt,"2013, 2013",2013,1
11025000-s27.txt,2015,2015,1
e13-58000124.txt,1959,1959,1
PADI-LH-4-393-L.txt,1985,1985,1
12006670-z06.txt,2012,2012,1
NOPADI-P-8-030-L.txt,1997,1997,1
04017240-n02-e.txt,2005,2005,1
